A1,08201607081900,5699.00,31.67,42.88,31.67,43.97,1016.15,5.03,NEXTSENSE-20:0:0
A1,08201607082000,1306.00,31.67,43.49,31.67,43.97,1016.49,5.03,NEXTSENSE-21:0:0
A1,08201607082100,199.00,26.39,51.75,26.55,51.78,1017.09,5.03,NEXTSENSE-22:0:0
A1,08201607082200,5.00,25.55,51.65,26.55,51.78,1017.70,5.03,NEXTSENSE-23:0:0
A1,08201607082300,5.00,24.95,51.57,26.55,51.78,1017.94,5.03,NEXTSENSE-0:0:0
A2,08201607082310,5.00,24.95,51.57,26.55,51.78,1017.94,5.03,NEXTFEED-2016-7-9@23:10:0
A1,08201607090000,3.00,24.77,51.56,26.55,51.78,1018.41,5.02,NEXTSENSE-1:0:0
A1,08201607090100,4.00,24.39,51.50,26.55,51.78,1018.82,5.01,NEXTSENSE-2:0:0
A1,08201607090200,5.00,24.29,51.48,26.55,51.78,1018.77,5.00,NEXTSENSE-3:0:0
A1,08201607090300,5.00,24.29,51.48,26.55,51.78,1018.34,5.02,NEXTSENSE-4:0:0
A1,08201607090400,3.00,26.49,51.47,26.55,51.78,1018.02,5.02,NEXTSENSE-5:0:0
A1,08201607090500,83.00,26.43,51.77,26.55,51.78,1017.87,5.01,NEXTSENSE-6:0:0
A1,08201607090600,485.00,26.51,51.77,26.55,51.78,1017.70,5.02,NEXTSENSE-7:0:0
A1,08201607090700,1963.00,26.47,51.77,26.55,51.78,1017.51,5.00,NEXTSENSE-8:0:0
A1,08201607090800,1621.00,24.15,51.47,26.55,51.78,1017.44,5.00,NEXTSENSE-9:0:0
A1,08201607090900,3031.00,24.47,51.50,26.55,51.78,1017.17,5.00,NEXTSENSE-10:0:0
A1,08201607091000,3048.00,24.77,51.78,26.55,51.78,1017.08,5.00,NEXTSENSE-11:0:0
A1,08201607091100,3116.00,25.25,51.61,26.55,51.78,1016.42,5.02,NEXTSENSE-12:0:0
A1,08201607091200,5974.00,26.23,51.78,26.07,51.71,1016.16,5.02,NEXTSENSE-13:0:0
A1,08201607091300,3058.00,31.67,52.46,26.07,51.78,1016.07,5.02,NEXTSENSE-14:0:0
A1,08201607091400,5934.00,31.67,52.46,26.07,51.74,1015.87,5.02,NEXTSENSE-15:0:0
A1,08201607091500,6373.00,31.67,52.46,31.67,52.46,1015.90,5.02,NEXTSENSE-16:0:0
A1,08201607091600,5026.00,31.67,52.46,31.67,52.46,1015.43,5.01,NEXTSENSE-17:0:0
A1,08201607091700,3145.00,31.67,52.46,31.67,52.46,1014.47,5.02,NEXTSENSE-18:0:0
A1,08201607091800,2547.00,31.67,52.46,31.67,52.46,1014.46,5.02,NEXTSENSE-19:0:0
A1,08201607091900,1476.00,31.67,52.46,26.55,51.78,1014.01,5.00,NEXTSENSE-20:0:0
A1,08201607092000,572.00,31.67,52.46,26.55,51.78,1013.43,5.00,NEXTSENSE-21:0:0
A1,08201607092100,306.00,26.39,51.77,26.55,51.78,1013.13,5.00,NEXTSENSE-22:0:0
A1,08201607092200,1.00,25.91,51.69,26.55,51.78,1013.10,5.00,NEXTSENSE-23:0:0
A1,08201607092300,2.00,25.47,51.64,26.55,51.78,1012.99,5.00,NEXTSENSE-0:0:0
A2,08201607092310,2.00,25.47,51.64,26.55,51.78,1012.99,5.00,NEXTFEED-2016-7-10@23:10:0
A1,08201607100000,2.00,25.03,51.58,26.55,51.78,1012.57,5.00,NEXTSENSE-1:0:0
A1,08201607100100,1.00,24.57,51.52,26.55,51.78,1011.94,5.00,NEXTSENSE-2:0:0
A1,08201607100200,5.00,24.47,51.50,26.55,51.78,1011.03,5.00,NEXTSENSE-3:0:0
A1,08201607100300,3.00,24.35,59.47,26.55,51.78,1010.29,5.00,NEXTSENSE-4:0:0
A1,08201607100400,4.00,26.53,59.43,26.55,59.79,1009.67,5.00,NEXTSENSE-5:0:0
A1,08201607100500,43.00,26.49,59.79,26.55,59.79,1009.02,5.00,NEXTSENSE-6:0:0
A1,08201607100600,437.00,26.51,59.44,26.55,59.79,1008.87,5.00,NEXTSENSE-7:0:0
A1,08201607100700,1122.00,26.43,59.79,26.55,59.79,1008.75,5.02,NEXTSENSE-8:0:0
A1,08201607100800,1487.00,26.51,59.79,26.55,59.79,1008.51,5.00,NEXTSENSE-9:0:0
A1,08201607100900,1612.00,24.23,59.79,26.55,59.79,1008.43,5.02,NEXTSENSE-10:0:0
A1,08201607101000,1008.00,24.47,59.48,26.55,59.79,1008.13,5.02,NEXTSENSE-11:0:0
